dnaSampleID,imgGenomeID,jgiProjectID,ITS Proposal ID,Sequencing Status,Study Name,GenomeName,Sequencing Center,GOLD Analysis Project ID,GOLD Analysis Project Type,GOLD Sequencing Project ID,GOLD Study ID,Funding Program,Sequencing Method,Sequencing Quality,siteID,collectDate,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,GenomeSize,GeneCount,ScaffoldCount,metaBATbinCount,eukCCbinCount,estNumberGenomes,avgGenomeSize,numberFilteredReads,numberMappedReads,pctAssembledReads
TALL_006-M-20190617-COMP-DNA1,3300070550,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Talladega National Forest, Alabama, USA - TALL_006-M-20190617-COMP-DNA1",Battelle Memorial Institute,Ga0620321,Metagenome Analysis,Gp0766889,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,TALL,20190617,Environmental,Terrestrial,Forest,Soil,Unclassified,12812094,41612,36353,0,0,0,0,0,0,0
UNDE_037-O-20190717-COMP-DNA1,3300070662,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from University of Notre Dame Environmental Research Center, Michigan, USA - UNDE_037-O-20190717-COMP-DNA1",Battelle Memorial Institute,Ga0619568,Metagenome Analysis,Gp0766136,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,UNDE,20190717,Environmental,Terrestrial,Forest,Soil,Unclassified,7198307,21648,18681,0,0,0,0,0,0,0
TOOL_043-O-20170719-COMP-DNA1,3300040563,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Toolik, Tundra, AK, USA - TOOL_043-O-20170719-COMP-DNA1",Battelle Memorial Institute,Ga0428513,Metagenome Analysis,Gp0477132,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,TOOL,20170719,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2409476,7357,6903,0,0,0,0,0,0,0
TECR.20230821.EPILITHON.7.DNA-DNA1,3300081709,1506437,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Teakettle 2 Creek NEON Field Site, Sierra National Forest, CA, USA - TECR.20230821.EPILITHON.7.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672973,Metagenome Analysis,Gp0812632,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,TECR,20230821,Environmental,Aquatic,Creek,Freshwater,Unclassified,949520331,1442385,695581,15,0,164,5789758,234162920,162471377,69.38
CPER_003-M-20130701-COMP-DNA1,3300040542,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_003-M-20130701-COMP-DNA1",Argonne National Laboratory,Ga0435301,Metagenome Analysis,Gp0476634,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,CPER,20130701,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2700608,7668,6923,0,0,0,0,0,0,0
RMNP_005-O-20170808-COMP-DNA1,3300039799,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Rocky Mountain National Park, Central Plains, CO, USA - RMNP_005-O-20170808-COMP-DNA1",Battelle Memorial Institute,Ga0428163,Metagenome Analysis,Gp0476966,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,RMNP,20170808,Environmental,Terrestrial,Unclassified,Soil,Unclassified,35832621,93619,80277,0,0,10,3583262,0,0,0
YELL_046-M-20200709-COMP-DNA1,3300071149,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Yellowstone National Park, Wyoming, USA - YELL_046-M-20200709-COMP-DNA1",Battelle Memorial Institute,Ga0620488,Metagenome Analysis,Gp0767056,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,YELL,20200709,Environmental,Terrestrial,Forest,Soil,Unclassified,17327018,53936,46701,0,0,0,0,0,0,0
KONZ_005-M-20190715-COMP-DNA1,3300070702,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Konza Prairie Biological Station, Kansas, USA - KONZ_005-M-20190715-COMP-DNA1",Battelle Memorial Institute,Ga0619912,Metagenome Analysis,Gp0766480,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,KONZ,20190715,Environmental,Terrestrial,Unclassified,Soil,Unclassified,145391,522,463,0,0,0,0,0,0,0
ORNL_001-M-20190613-COMP-DNA1,3300071021,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_001-M-20190613-COMP-DNA1",Battelle Memorial Institute,Ga0620075,Metagenome Analysis,Gp0766643,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,ORNL,20190613,Environmental,Terrestrial,Forest,Soil,Unclassified,5492933,18040,16100,0,0,0,0,0,0,0
ORNL_004-O-20200601-COMP-DNA1,3300070643,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_004-O-20200601-COMP-DNA1",Battelle Memorial Institute,Ga0619540,Metagenome Analysis,Gp0766108,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,ORNL,20200601,Environmental,Terrestrial,Forest,Soil,Unclassified,33987414,92473,81048,0,0,0,0,0,0,0
HARV_033-O-20190715-COMP-DNA1,3300070390,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Harvard Forest , Massachusetts, USA - HARV_033-O-20190715-COMP-DNA1",Battelle Memorial Institute,Ga0619839,Metagenome Analysis,Gp0766407,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,HARV,20190715,Environmental,Terrestrial,Forest,Soil,Unclassified,5839094,19567,17102,0,0,0,0,0,0,0
SCBI_005-M-20170719-COMP-DNA1,3300040581,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Smithsonian Conservation Biology Institute, Mid-Atlantic, VA, USA - SCBI_005-M-20170719-COMP-DNA1",Battelle Memorial Institute,Ga0428184,Metagenome Analysis,Gp0476979,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SCBI,20170719,Environmental,Terrestrial,Unclassified,Soil,Unclassified,1981276,6063,5643,0,0,0,0,0,0,0
SCBI_045-M-20190730-COMP-DNA1,3300071067,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Smithsonian Conservation Biology Institute, Virginia, USA - SCBI_045-M-20190730-COMP-DNA1",Battelle Memorial Institute,Ga0620204,Metagenome Analysis,Gp0766772,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SCBI,20190730,Environmental,Terrestrial,Forest,Soil,Unclassified,46572452,128734,108038,0,0,12,3881037,0,0,0
ONAQ_004-M-20210525-COMP-1,3300061211,1414460,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,"Terrestrial soil microbial communities from Great Basin, Onaqui, Utah, USA - ONAQ_004-M-20210525-comp-1",DOE Joint Genome Institute  (JGI),Ga0597029,Metagenome Analysis,Gp0704877,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,ONAQ,20210525,Environmental,Terrestrial,Shrubland,Soil,Unclassified,1245617870,2024451,978255,30,0,293,4251255,271636228,163858697,60.32
STEI_060-O-20160726-COMP-DNA1,3300040625,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Steigerwaldt Land Services, Great Lakes, WI, USA - STEI_060-O-20160726-COMP-DNA1",Battelle Memorial Institute,Ga0428009,Metagenome Analysis,Gp0477023,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,STEI,20160726,Environmental,Terrestrial,Unclassified,Soil,Unclassified,1269248,3684,3462,0,0,0,0,0,0,0
CLBJ_040-M-20210503-COMP-1,3300061205,1414463,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_040-M-20210503-comp-1",DOE Joint Genome Institute  (JGI),Ga0597032,Metagenome Analysis,Gp0704880,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,CLBJ,20210503,Environmental,Terrestrial,Grasslands,Soil,Unclassified,1372843960,2336682,1255510,17,0,242,5672908,306367150,134258109,43.82
CLBJ_006-M-20190416-COMP-DNA1,3300070262,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Lyndon B. Johnson National Grassland, Texas, USA - CLBJ_006-M-20190416-COMP-DNA1",Battelle Memorial Institute,Ga0619655,Metagenome Analysis,Gp0766223,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,CLBJ,20190416,Environmental,Terrestrial,Forest,Soil,Unclassified,51592,181,169,0,0,0,0,0,0,0
SJER_001-O-20170314-COMP-DNA1,3300039719,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from San Joaquin Experimental Range, Pacific Southwest, CA, USA - SJER_001-O-20170314-COMP-DNA1",Battelle Memorial Institute,Ga0428426,Metagenome Analysis,Gp0476999,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SJER,20170314,Environmental,Terrestrial,Unclassified,Soil,Unclassified,45102745,120550,100100,0,0,0,0,0,0,0
KONZ_045-M-20200730-COMP-DNA1,3300070972,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Konza Prairie Biological Station, Kansas, USA - KONZ_045-M-20200730-COMP-DNA1",Battelle Memorial Institute,Ga0619926,Metagenome Analysis,Gp0766494,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,KONZ,20200730,Environmental,Terrestrial,Unclassified,Soil,Unclassified,68512200,200605,170911,0,0,18,3806233,0,0,0
WREF_072-O-20190618-COMP-DNA1,3300070243,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_072-O-20190618-COMP-DNA1",Battelle Memorial Institute,Ga0619583,Metagenome Analysis,Gp0766151,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,WREF,20190618,Environmental,Terrestrial,Forest,Soil,Unclassified,144457700,381727,306544,0,0,33,4377506,0,0,0
NIWO_001-O-20210728-COMP-1,3300060666,1414508,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,"Terrestrial soil microbial communities from Niwot Ridge, Colorado, USA - NIWO_001-O-20210728-comp-1",DOE Joint Genome Institute  (JGI),Ga0597077,Metagenome Analysis,Gp0704925,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,NIWO,20210728,Environmental,Terrestrial,Temperate forest,Soil,Unclassified,1272937701,2205668,1254347,9,2,232,5486800,251051164,136175523,54.24
OSBS_003-M-20170711-COMP-DNA1,3300070644,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Florida, USA - OSBS_003-M-20170711-COMP-DNA1",Battelle Memorial Institute,Ga0619542,Metagenome Analysis,Gp0766110,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,OSBS,20170711,Environmental,Terrestrial,Forest,Soil,Unclassified,3211865,10746,9553,0,0,0,0,0,0,0
CARI.20230713.EPILITHON.4.DNA-DNA1,3300080850,1506445,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20230713.EPILITHON.4.DNA-DNA1",DOE Joint Genome Institute  (JGI),Ga0654653,Metagenome Analysis,Gp0812690,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,CARI,20230713,Environmental,Aquatic,Creek,Freshwater,Unclassified,990589739,1418636,648996,42,0,188,5269094,310519184,269815629,86.89
SOAP_043-M-20180531-COMP-DNA1,3300040428,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Soaproot Saddle, Pacific Southwest, CA, USA - SOAP_043-M-20180531-COMP-DNA1",Battelle Memorial Institute,Ga0428446,Metagenome Analysis,Gp0477012,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SOAP,20180531,Environmental,Terrestrial,Unclassified,Soil,Unclassified,4478510,14300,13428,0,0,0,0,0,0,0
BLUE.20230726.EPILITHON.7.DNA-DNA1,3300081957,1500376,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.7.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0673009,Metagenome Analysis,Gp0812730,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,BLUE,20230726,Environmental,Aquatic,River,Freshwater,River biofilm,1216157453,2020518,1303824,11,0,222,5478186,828347292,437377026,52.8
MLBS_002-M-20230712-COMP-DNA1,3300078840,1490405,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Mountain Lake Biological Station NEON Field Site, Virginia, USA - MLBS_002-M-20230712-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643900,Metagenome Analysis,Gp0798422,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,MLBS,20230712,Environmental,Terrestrial,Temperate forest,Soil,Unclassified,2058472496,3559749,1928684,6,0,235,8759457,444701680,268561014,60.39
OSBS_003-O-20170711-COMP-DNA1,3300069419,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_003-O-20170711-COMP-DNA1 re-annotation",Battelle Memorial Institute,Ga0614082,Metagenome Analysis,Gp0476941,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,OSBS,20170711,Environmental,Terrestrial,Unclassified,Soil,Unclassified,44813328,129024,109125,0,0,10,4481332,0,0,0
NEON COMBINED ASSEMBLY,3300067032,1414457,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,NEON combined assembly,DOE Joint Genome Institute  (JGI),Ga0606867,Combined Assembly,Gp0704874,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,NEON COMBINED ASSEMBLY,NA,Environmental,Terrestrial,Shrubland,Soil,Unclassified,182982858934,343945133,208008147,624,5,28524,6415049,0,0,0
TALL_001-M-20160823-COMP-DNA1,3300071098,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Talladega National Forest, Alabama, USA - TALL_001-M-20160823-COMP-DNA1",Battelle Memorial Institute,Ga0620305,Metagenome Analysis,Gp0766873,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,TALL,20160823,Environmental,Terrestrial,Forest,Soil,Unclassified,43456346,129261,110380,0,0,0,0,0,0,0
OAES_045-M-20160809-COMP-DNA1,3300040608,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Klemme Range Research Station, Southern Plains, OK, USA - OAES_045-M-20160809-COMP-DNA1",Battelle Memorial Institute,Ga0428396,Metagenome Analysis,Gp0476881,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,OAES,20160809,Environmental,Terrestrial,Unclassified,Soil,Unclassified,1639225,5953,5536,0,0,0,0,0,0,0
STEI_060-O-20170706-COMP-DNA1,3300039844,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Steigerwaldt Land Services, Great Lakes, WI, USA - STEI_060-O-20170706-COMP-DNA1",Battelle Memorial Institute,Ga0428209,Metagenome Analysis,Gp0477040,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,STEI,20170706,Environmental,Terrestrial,Unclassified,Soil,Unclassified,315739388,775239,646004,0,0,73,4325197,0,0,0
SRER_005-M-20210810-COMP-1,3300060886,1414533,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,"Terrestrial soil microbial communities from Santa Rita Experimental Range, Tucson, Arizona, USA - SRER_005-M-20210810-comp-1",DOE Joint Genome Institute  (JGI),Ga0597102,Metagenome Analysis,Gp0704950,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,SRER,20210810,Environmental,Terrestrial,Desert,Soil,Unclassified,1507485050,2775417,1627750,8,0,380,3967065,410204838,185391249,45.19
WOOD_001-M-20210714-COMP-1,3300060897,1414527,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,"Terrestrial soil microbial communities from Chase Lake Wetlands, North Dakota, USA - WOOD_001-M-20210714-comp-1",DOE Joint Genome Institute  (JGI),Ga0597096,Metagenome Analysis,Gp0704944,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,WOOD,20210714,Environmental,Terrestrial,Wetlands,Soil,Unclassified,1477232773,2601334,1438176,6,0,318,4645386,286056868,160228879,56.01
NIWO_005-M-20180801-COMP-DNA1,3300070636,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Niwot Ridge, Colorado, USA - NIWO_005-M-20180801-COMP-DNA1",Battelle Memorial Institute,Ga0619533,Metagenome Analysis,Gp0766101,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,NIWO,20180801,Environmental,Terrestrial,Forest,Soil,Unclassified,34725582,105730,92973,0,0,0,0,0,0,0
DSNY_016-M-35-17-20140327-GEN-DNA1,3300040575,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Disney Wilderness Preserve, Southeast, FL, USA - DSNY_016-M-35-17-20140327-GEN-DNA1",Argonne National Laboratory,Ga0435365,Metagenome Analysis,Gp0476695,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,DSNY,20140327,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2162515,6686,6160,0,0,0,0,0,0,0
OSBS_063-M-20200706-COMP-DNA1,3300071052,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Florida, USA - OSBS_063-M-20200706-COMP-DNA1",Battelle Memorial Institute,Ga0620144,Metagenome Analysis,Gp0766712,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,OSBS,20200706,Environmental,Terrestrial,Forest,Soil,Unclassified,15804003,50840,44327,0,0,0,0,0,0,0
WOOD_024-O-20230703-COMP-DNA1,3300078431,1490336,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Chase Lake National Wildlife Refuge NEON Field Site, North Dakota, USA - WOOD_024-O-20230703-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643831,Metagenome Analysis,Gp0798502,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,WOOD,20230703,Environmental,Terrestrial,Grasslands,Soil,Unclassified,848142826,1511060,869369,6,0,197,4305293,247578438,88274907,35.66
BONA_002-O-20190828-COMP-DNA1,3300070679,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Caribou-Poker Creeks Research Watershed, Alaska, USA - BONA_002-O-20190828-COMP-DNA1",Battelle Memorial Institute,Ga0619615,Metagenome Analysis,Gp0766183,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,BONA,20190828,Environmental,Terrestrial,Forest,Soil,Unclassified,32915669,101350,86631,0,0,0,0,0,0,0
CPER_001-M-20131024-COMP-DNA1,3300040691,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_001-M-20131024-COMP-DNA1",Argonne National Laboratory,Ga0435288,Metagenome Analysis,Gp0476641,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,CPER,20131024,Environmental,Terrestrial,Unclassified,Soil,Unclassified,1039789,3370,3176,0,0,0,0,0,0,0
YELL_051-M-20210705-COMP-1,3300061625,1414480,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,"Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_051-M-20210705-comp-1",DOE Joint Genome Institute  (JGI),Ga0597049,Metagenome Analysis,Gp0704897,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,YELL,20210705,Environmental,Terrestrial,Temperate forest,Soil,Unclassified,1465893308,2677575,1582075,2,0,357,4106143,490532864,202774493,41.34
LAJA_003-M-20160913-COMP-DNA1,3300069546,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Lajas Experimental Station, Atlantic Neotropical, PR, USA - LAJA_003-M-20160913-COMP-DNA1 re-annotation",Battelle Memorial Institute,Ga0614303,Metagenome Analysis,Gp0476833,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,LAJA,20160913,Environmental,Terrestrial,Unclassified,Soil,Unclassified,52362707,161813,137505,0,0,14,3740193,0,0,0
